CAPITAL FEDERAL|60| FLORES|Av.  J.B. Alberdi 1737/49|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:30|4631-0091|-34.628235|-58.453329
CAPITAL FEDERAL|40| FLORES|Av. Eva Peron 2202|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|09:00 a 14:00|4631-6212|-34.638054|-58.452517
CAPITAL FEDERAL|55| FLORESTA|Av. Avellaneda 3758|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|9:00 a 14:00|4671-7787|-34.628916|-58.481439
CAPITAL FEDERAL|220| Hipermercado y Torres de Oficinas Barracas|Martin Garcia 743|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|8:30 a 21:30|5296-4900|-34.6320834|-58.37389039999999
CAPITAL FEDERAL|39| LINIERS|Av. Emilio Castro 7661|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|09:00 a 14:00|4642-9909|-34.6563378|-58.524888499999975
CAPITAL FEDERAL|121| MATADEROS| Larrazabal 3443/55 |SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|09:00 a 14:00|4601-4685/4784/5120|-34.6711114|-58.47907529999998
CAPITAL FEDERAL|85| MATADEROS|Av. Eva Perón 4730|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:00|4635-4441|-34.65757|-58.47666
CAPITAL FEDERAL|125| MONTE CASTRO|Lope de Vega 1742/44|SUPER|8:30 a 21:00|8:30 a 21:00|8:30 a 21:30|09:00 a 14:00|4639-0108|-34.6239398|-58.51214970000001
CAPITAL FEDERAL|108| NUÑEZ|Av. Cabildo 4125/65|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 22:00|9:00 a 21:00|4704-9300|-34.545839|-58.470531
CAPITAL FEDERAL|170| NUÑEZ|Av. Libertador 6840|SUPER|8:30 a 21:00|8:30 a 21:30|8:30 a 21:30|9:00 a 21:00|4896-4410/11/12|-34.549286|-58.454265
CAPITAL FEDERAL|61| ONCE|Alsina 2300|HIPER|8:30 a 21:30|8:30 a 22:00|8:30 a 22:00|9:00 a 21:30|4954-3442|-34.612025|-58.399278
